No.,Citation key,Model / short name,Title,Authors,Year,Venue,Publication status,Primary family,Safety / reliability emphasis,Patient features,Medication history,Clinical notes,External knowledge,DOI / URL,Formal synthesis,Review note
1,tan20224sdrug,4SDrug,4SDrug: Symptom-based Set-to-set Small and Safe Drug Recommendation,"Tan, Yanchao; Kong, Chengjun; Yu, Leisheng; Li, Pan; Chen, Chaochao; Zheng, Xiaolin; Hertzberg, Vicki S; Yang, Carl",2022,Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,Peer-reviewed conference paper,Set-to-set + safety,Small and safe set-to-set recommendation,Yes,No/NR,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
2,wu2022conditional,COGNet,Conditional Generation Net for Medication Recommendation,"Wu, Rui; Qiu, Zhaopeng; Jiang, Jiacheng; Qi, Guilin; Wu, Xian",2022,Proceedings of the ACM Web Conference 2022,Peer-reviewed conference paper,Transformer/copy-generation,Copy-or-predict conditional generation,Yes,Yes,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
3,mao2022medgcn,MedGCN,MedGCN: Medication recommendation and lab test imputation via graph convolutional networks,"Mao, Chengsheng; Yao, Liang; Luo, Yuan",2022,Journal of Biomedical Informatics,Peer-reviewed journal article,Graph/knowledge,Graph-based recommendation; lab-test imputation,Yes,Yes,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
4,zhang2022knowledge,MedRec,Knowledge-enhanced Attributed Multi-Task Learning for Medicine Recommendation,"Zhang, Yingying; Wu, Xian; Fang, Quan; Qian, Shengsheng; Xu, Chengsheng",2022,ACM Transactions on Information Systems (TOIS),Peer-reviewed journal article,Knowledge-aware multi-task,Knowledge-enhanced multi-task learning,Yes,No/NR,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
5,su2022tahdnet,TAHDNet,TAHDNet: Time-aware hierarchical dependency network for medication recommendation,"Su, Yaqi; Shi, Yuliang; Lee, Wu; Cheng, Lin; Guo, Hongmei",2022,Journal of Biomedical Informatics,Peer-reviewed journal article,Attention/temporal,Time-aware hierarchical dependencies,Yes,Yes,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
6,tang2023debiasing,CAMeR,Debiasing medication recommendation with counterfactual analysis,"Tang, Pei; Ouyang, Chunping; Liu, Yongbin",2023,International Conference on Neural Information Processing,Peer-reviewed conference paper,Counterfactual/debiasing,Counterfactual debiasing,No/NR,Yes,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
7,sun2023cehmr,CEHMR,CEHMR: Curriculum learning enhanced hierarchical multi-label classification for medication recommendation,"Sun, Mengxuan; Niu, Jinghao; Yang, Xuebing; Gu, Yifan; Zhang, Wensheng",2023,Artificial Intelligence in Medicine,Peer-reviewed journal article,Curriculum learning/multi-label,Curriculum learning; hierarchical multi-label prediction,Yes,Yes,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
8,chen2023context,Context-aware Safe MR,Context-aware safe medication recommendations with molecular graph and DDI graph embedding,"Chen, Qianyu; Li, Xin; Geng, Kunnan; Wang, Mingzhong",2023,Proceedings of the AAAI conference on artificial intelligence,Peer-reviewed conference paper,Molecular/DDI graph + safety,Molecular and DDI graph safety,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
9,li2023dgcl,DGCL,DGCL: distance-wise and graph contrastive learning for medication recommendation,"Li, Xingwang; Zhang, Yijia; Li, Xiaobo; Wei, Hao; Lu, Mingyu",2023,Journal of Biomedical Informatics,Peer-reviewed journal article,Graph/contrastive,Graph contrastive learning; DDI-aware representation,Yes,Yes,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
10,liu2023dkinet,DKINet,Medication Recommendation via Domain Knowledge Informed Deep Learning,"Liu, Sicen; Wang, Xiaolong; Zhao, Xianbing; Chen, Hao",2023,arXiv preprint,Preprint / emerging evidence,Graph/knowledge,Domain-knowledge grounding,Yes,Yes,No/NR,Yes,https://arxiv.org/abs/2305.19604,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
11,mulyadi2023kindmed,KindMed,KindMed: knowledge-induced medicine prescribing network for medication recommendation,"Mulyadi, Ahmad Wisnu; Suk, Heung-Il",2023,CoRR,Preprint / emerging evidence,Knowledge-aware neural,Knowledge-induced prescribing,Yes,No/NR,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
12,MoleRec,MoleRec,MoleRec: Combinatorial Drug Recommendation with Substructure-Aware Molecular Representation Learning,"Yang, Nianzu; Zeng, Kaipeng; Wu, Qitian; Yan, Junchi",2023,Proceedings of the ACM Web Conference 2023,Peer-reviewed conference paper,Molecular representation + safety,Molecular substructure-aware recommendation,Yes,Yes,No/NR,Yes,https://doi.org/10.1145/3543507.3583872,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
13,bhoi2023refine,REFINE,REFINE: a fine-grained medication recommendation system using deep learning and personalized drug interaction modeling,"Bhoi, Suman; Lee, Mong Li; Hsu, Wynne; Tan, Ngiap Chuan",2023,Advances in Neural Information Processing Systems,Peer-reviewed journal article,Personalized DDI modeling,Personalized drug-interaction modeling,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
14,liu2023shape,SHAPE,SHAPE: A sample-adaptive hierarchical prediction network for medication recommendation,"Liu, Sicen; Wang, Xiaolong; Du, Jingcheng; Hou, Yongshuai; Zhao, Xianbing; Xu, Hui; Wang, Hui; Xiang, Yang; Tang, Buzhou",2023,IEEE Journal of Biomedical and Health Informatics,Peer-reviewed journal article,Attention/temporal,Sample-adaptive hierarchical prediction,Yes,No/NR,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
